text,id,score,topic_id
depo des skrg blm masuk respon laporan slalu diteruskan prosesnya skrg gak ada bukti tindakan dm email mrk masuk sdh berlatih mngiklaskan,1563,0.6154527651484422,11
asetku mendanai 5jt 5jt ada bbrp orang minjem jd kebalik sistem nya dg si contohnya dr duit 5jt gue masukin ada bbrp orang minjem dr uang 5jt gue minjem nya 3jt gak dr gue bmk2poej77,180,0.6153244699428344,11
sensitif portfolio berkurang tiba2 kejelasan sudah kirim e mail beserta screenshot telepon dm ada solusi disuruh nunggu sudah lapor kepolisian ojk,1099,0.6151394525611539,11
dear koin works deposit tanggal des masuk sudah hub wa email telp gak ada respon,1597,0.6143133060928383,11
dear koin works deposit tanggal des masuk sudah hub wa email telp gak ada respon,1598,0.6143133060928383,11
dear koin works deposit tanggal des masuk sudah hub wa email telp gak ada respon,1599,0.6143133060928383,11
dear koin works deposit tanggal des masuk sudah hub wa email telp gak ada respon,1600,0.6143133060928383,11
bisa redeem voucher koin ya pas diklik blank dashboard sudah install ulang kalo via desktop gimana ya mohon solusi qkylmy2yxe,1069,0.6139283721838422,11
halo admin id produk no 212019fb3f dibayar ya tgl oktober sudah lunas jt lebihnya tolong ditagihkan ya sudah menunggak sudah masuk status gagal bayar terima kasih,963,0.6132301828091828,11
"Zhong Guo Bao Fu Si You Kun Nan ,Bei Zhi Cai De 11Wei Mei Guo Gong Min Zhong You 3Ren Zhong Fu Jin Ru Zhi Cai Ming Dan dlvr it rdmfqr",873,0.6109193781895211,11
"Zhong Guo Bao Fu Si You Kun Nan ,Bei Zhi Cai De 11Wei Mei Guo Gong Min Zhong You 3Ren Zhong Fu Jin Ru Zhi Cai Ming Dan dlvr it rdmfqr",1384,0.6109193781895211,11
mandirifiesta min udah november voucher dijanjikan ada oktober desember website bankmandiri tetep ga ada maksudnya sih min rycaicgkc6,1958,0.610400475205656,11
aplikasi merespon email customer service butuh berhari hri hilang ada deposit kemana progresnya sudah tgl wow banget nih suruh invest gagu males,1641,0.6099105338362899,11
mas dave sudah portfolio ga history kosong payment schedule nol ada keuangan narik dana error ojkindonesia mohon bantuannya,1754,0.5965519198895224,11
halo min sudah transfer des kmrn tp dananya masuk email konfirmasi sudah bbrp kali kirim mohon bantuannya,1690,0.5964492355399961,11
sudah sebulan ada kejelasan tlg dibantu donk,907,0.5951783605775095,11
udah update tp gak bisa dibuka gimana,1788,0.5951099542315202,11
pengajuan proses ya ujung ditolak mohon diperbaiki biar gak php,707,0.595007479975978,11
knp feb gak cair gmn sih ampe masuk maret ats5mizp9i,965,0.5949976244889451,11
menit barusan berubah statusnya semoga mention ya admin thanks anyway,1968,0.594912035926064,11
duit tongpes sama2 pengen tambahan penghasilan ya suka cari cari investasi nih untungnya gedhe langsung melirik pas ada konon hasilnya pertahun gedhe deposito ya 9pcmeouljr,1378,0.5947224606630901,11
halo admin tanya id produk no 212019fb3f 212019c0b0 dibayar ya tgl oktober sudah lunas jt lebihnya tolong ditagihkan ya terima kasih,1473,0.5945234967285605,11
setujuh pendanaan ga dibayar iklan bilang nunggak lgs cair dana taktis janjimu php,1450,0.5944371226182198,11
mendanai pinjaman grade a prosesnya bisa sebulan pengembaliannya jatuh tempo 20an oktober skrg nasibnya telp cs disuruh sabar menunggu,1705,0.592899216491603,11
kepingin banget bisa diam rumah ga ngider ga uang hidup sehari2 mba,730,0.5924208167991444,11
pagi min tanya knp gak bisa top up saldo bca virtual account ya situ tertulis ada tagihan trims ganti password koinworksnya trims,1998,0.5869138063789126,11
bisa disediakan opsi aplikasi aplikasi lihat total keuntungan udah ga ada persentase persentasenya crash aplikasinya,1653,0.5861892342306715,11
min pgn tau prrformance brp invest brp imbal hasilnya gmn ya thanks,1632,0.582695227069041,11
pagi tanya sudah reinstall dibuka stuck logo koin hilang mohon solusinya thanks,1784,0.5813075003180713,11
ojkindonesia mohon diinvestigasi kekacauan fintek minggu web aplikasi error lender bisa menarik dana data error,1753,0.5803795056185375,11
gimana sudah sebulan statusnya funding proses balikin deh duitnya masukin tenor nunggu sisa duit loan eh ikutan nyangkut kaya gini parah parah kvlagkkguu,603,0.5756166203709832,11
case thn min sblm pandemi mendanai krn tenor hny bln proses peminjaman dah jalan cek portfolio kaget tenor dah berubah jd bln ada info opsi pembatalan resiko sepenuhnya ada pendana,4,0.574956939392583,11
mohon info pembayaran terlambat bayar dimana ya ditulis sudah dibayar saldonya,623,0.5748703198883858,11
sudah ada perbaikan udah kenyang oh baguslah ya uang lender anggap tumbuhkan pohon ya baguslah bagus kinerja logika neraka iblis dipake ya,122,0.5736295678956643,11
proses kerja npl nya mengerikan sudah minggu ribut admin ig whatsapp e mail berinvestasi catuaries status ...,1490,0.5716124258279633,11
halo keterangan id peminjam 212019985a sudah ada keterangan ada keterangan prosesnya sudah dimana thanks,1861,0.5709359346139875,11
udah dm ya tolong proses withdrawal dilama lamain butuh kalo ga butuh ga withdraw kali withdraw udah sukses reject alasan data nggak udah upload ktp thx,1524,0.5682249420115175,11
to barusan update apk android disana disuruh update data2 ambil foto selfi ktp berhubung device android kameranya ga bagus upgrade data via web,366,0.5661489360841467,11
koin februari sudah tambahan cash 12rb 17rb 5rb april ada tambahan uang return w013w1ivwe,242,0.5614865809130181,11
teh kalo ga salah mesti nunggu kekumpul yah si dana nya bisa diputerin,626,0.5612728832324749,11
bisa tolong reply dm respon email telp ga bisa2 mohon ditanggapi keluhan terkait peringatan pembayaran kena late fee sudah pembayaran jatuh tempo mohon ditanggapi dicek,363,0.5607593605535949,11
nih gimana sih pengajuan dah pemeriksaan dokumen ga gini dapet email msh antrean ko bgt,536,0.5588089701564765,11
dimana pembayaran terlambat ya terkendala sudah pembayaran terlambat ada pemberitahuannya,486,0.5583933671638752,11
coba uninstall install kemarin gitu bisa masuk,1709,0.5583653142367581,11
yayasan undip ada bnyk ga inget stikom2 politeknik2 jg bnyk naungi undip akreditasi gitu,737,0.5583539198569274,11
min ko website gk bisa buka gateway time out,1480,0.5583194851940332,11
admin becanda nih udh 3x upgrade bisa buka,1745,0.558304545359443,11
min webnya n appsnya ga bisa dibuka punyaku nih,1001,0.558287246782589,11
knp aplikasi ku ngga bisa masuk y,1154,0.5581148917127364,11
halo min email support knapa gk respon2 ya,1404,0.5580780454521858,11
ku coba cuman nggak modal ko sam kayanya nih,627,0.5580712584884244,11
halo tolong bantuannya login udah request otp ga diterima coba resend tetep ga diterima kali dibilang you entered the wrong for times dpt otp nya engga gp7hec6gxj,1021,0.5564055268643614,11
dibuka d laptop lihat portofolio pendanaan ko zero ya mohon jawabannya was was tdinya nyoba dlu aga riskan jg,1807,0.5512343283280389,11
Mei Tai Qian Shu Wei Sheng He Zuo Bei Wang Lu Mei Wei Sheng Bu Chang :Zhi Chi Tai Wan De Min Zhu Kai Fang Tou Ming dlvr it rdmpmx,64,0.5506344005629543,11
sedih sih bro pgn untung gede rugi gpp drpda ga samsek nyesel invest bnyk orang,226,0.5498888786086554,11
halo kampanyeku januari ada progres ya statusnya upcoming mulu mohon bantuannya terimakasih kupqpavhlw,1041,0.5493651599303373,11
min member coba deposit notif muncul no pembayaran kadaluarsa gmn ya thx,1542,0.5493291219063576,11
bagus sih udh join 10bulan skrg pas buka portfolio suka ngelag nominal bunga diterima skrg ga ditampilkan prosentase timbal hasil jd diupdate keliatan tczoudvzqv,1737,0.5492044620398463,11
gw sih sampe porto februari kemaren masing2 ga gede ada porto bayarnya telat sampe gw denger sih debt collectornya klu nagih kejem bgt sampe akses kontak peminjam gw mikir sih kasian ya peminjemnya,300,0.5484404223451438,11
min mandirifiesta tanggal oktober belom update nih aplikasinya voucher masuk aplikasi kau tukar poinku hemmmm sejam zt1wcs6cep,1993,0.5428345089319123,11
min aplikasi nya semenjak update error ya ga bisa buka hp coba buka via web gagal ganti password mohon bantuannya,1679,0.5411128609975722,11
mohon info ada pembayaran maret bayar ya,665,0.5393568493344014,11
sudah kali deposit saldo gak bertambah sudah email sabtu ada balasan,1403,0.5342827063496405,11
gak mbak gw msh ketahan sih krn msh coba2 dashboard periode invest tiba2 klik detail berubah ada ada pantesan gak cair2 gimana,58,0.5327866544354942,11
pagi2 iseng buka aplikasi kaget portfolio gw berkurang pdhl ga ngelakuin apa2 fix it pls gw jd nyaman sebulanan update2 bikin outstanding portfolio naek turun ga,1484,0.532409389616088,11
btw aneh login masukin kode otp aneh kode otpnya gak kekirim kirim gimana masuknya coba ada opsi klo kirim kode otp sms mahal bisa coba kirim email min,1805,0.5320121374929329,11
heleh loan kw bnyk ga perform ajaib bgt ada gitu ksp bogor bisa dapet pinjeman kw bayar cicilan ngilang ga filter dlu peminjamnya pdhal nama ksp namanya negatif berita lokal ama nasional,444,0.526018369612844,11
istri idaman suami suamiku isi hatiku ada iklan bisa ngasih bunga pertahun lhaa deposito kalah gede sloq6oufhx,1390,0.5258107628142747,11
gan ya melampirkan documen tambahan via browser loading pakai wifi mohon pencerahan nya gan,454,0.5244214354011191,11
email income maret email januari februari data bisa disediakan kw,641,0.5218677205447663,11
