,date,username,name,tweet,urls,retweets_count,likes_count,hashtags,id
1923,2020-03-23,pontianakpagi,PontianakPagi,Ayooo semua penduduk Indonesia. Kita ikuti anjuran pemerintah. @koinworks sudah baik lhoooo mau ngingatin,[],0,0,[],b500b934-f6ef-42b2-8b3b-ed0df482d448
1924,2020-03-23,tkangjalanjajan,Tukang Jalan Jajan,Ya sudah.. ayuk jadi kaum rebahan.. kita sama sama ikuti sesuai instruksi pemerintah. Bersyukur diingatkan @koinworks,[],0,0,[],9849fb96-4a19-47f0-b7bb-6c0fb390bae5
1925,2020-03-23,pontifoodfest2,Makan Makan di Pontianak,Masyarakat kudu bijak. Tinggal dirumah aja. Udah dianjurin @koinworks apa susahnya sih? Heran!,[],0,0,[],30edb18f-3672-42bd-984c-9317d41cacca
1926,2020-03-23,makanenak18,MakanEnak,Kalau sudah diingatkan gini emamg kudu ngucapin thanks ama @koinworks .....,[],0,0,[],3fe7d02e-6a62-4175-9264-510f6b094c91
1927,2020-03-23,erna10303153,Erna,"Hi, let me introduce you to *KoinWorks*, Indonesia First Super Financial App. Get *return up to 18% p.a* and *non-collateralized loan* in one single app. 
 
 *Click to watch video* 
  https://youtu.be/D1N34eRVkqM  
 
 Download and *Use my code RW99753 to get 350,000*",['https://youtu.be/D1N34eRVkqM'],0,0,[],47184191-91fc-4d6b-8d6b-42c92d535dd5
1928,2020-01-09,danielchayau,Author,"Check out Audio Book Elven Magic on Audible, amazon pay $75 for every bounty(have to be a member for 91 days consecutively) . https://www.audible.com/pd/B078WHKMN3/?source_code=AUDFPWS0223189MWT-BK-ACX0-105123&ref=acx_bty_BK_ACX0_105123_rh_us …",['https://www.audible.com/pd/B078WHKMN3/?source_code=AUDFPWS0223189MWT-BK-ACX0-105123&ref=acx_bty_BK_ACX0_105123_rh_us'],28,107,[],38392d08-a58c-4326-8442-66b9e7e95c20
1929,2020-03-23,koinworks,KoinWorks,Hello! Cara melihatnya cukup klik menu KoinP2P di menu Home Anda ( https://prnt.sc/qhs40l ) > klik Home lagi > klik tombol Navigasi ditandai 3 titik horizontal > klik Portfolio ( https://prnt.sc/qhs439 ) 😉,"['https://prnt.sc/qhs40l', 'https://prnt.sc/qhs439']",0,0,[],51577572-1cee-4109-9443-f74273af4791
1930,2020-03-23,wiastp,Swarha,Lanjut Ka... 🙏,[],0,1,[],8e61d852-7597-48ed-a440-2eecdad9d4d4
1931,2020-03-23,duniaqtoy,Sri Untari,Salam semarangan juga boleh 😁,[],0,2,[],e3744810-b362-47f9-bb0a-374ef0606b56
1932,2020-03-23,amandatydes,Amanda D. Y,Smoga ini cepat berakhir yaaa 😭😭😭😭😭,[],0,1,[],0d7b9554-e1eb-41db-95d1-85580c4b2f56
