date,username,name,tweet,urls,retweets_count,likes_count,hashtags,id,cleaned,flair_dataset,is_ref
2019-12-23,andre_w_13,Andre Wihardi ( W ),"Halo min, saya sudah transfer sejak 19 Des kmrn, tp dananya belum masuk sampai sekarang. Email konfirmasi pun sudah bbrp kali saya kirim. Mohon bantuannya.",[],0,0,[],18e83f7d-aba4-4d2b-a31b-0005e3642007,halo min sudah transfer des kmrn tp dananya masuk email konfirmasi sudah bbrp kali kirim mohon bantuannya,halo min saya sudah transfer sejak des kmrn tp dananya belum masuk sampai sekarang email konfirmasi pun sudah bbrp kali saya kirim mohon bantuannya,False
2019-12-23,selularid,SelularID,"Pinjaman Online KoinWorks Kantongi Izin Usaha dari OJK 
#koinworks
 https://selular.id/2019/12/pinjaman-online-koinworks-kantongi-izin-usaha-dari-ojk/ … lewat @selularid",['https://selular.id/2019/12/pinjaman-online-koinworks-kantongi-izin-usaha-dari-ojk/'],0,1,['#koinworks'],4a3ec1e3-bef7-423e-a8fa-db1850a19c99,pinjaman online kantongi izin usaha ojk selular id pinjaman online kantongi izin usaha ojk ... selularid,pinjaman online koinworks kantongi izin usaha dari ojk koinworks https selular id pinjaman online koinworks kantongi izin usaha dari ojk ... lewat selularid,False
2019-12-23,riyorezo,Mario R. Gaurane,"@koinworks ini informasi hukum sy selalu gagal keupload. Setiap kali di upload, pas d cek unverified dengan status 0%. Apakah menunggu atau sistem bakal verif auto?",[],0,0,[],70f4a636-f6b0-4d1e-93cc-1e0aad5c809c,informasi hukum sy gagal keupload kali upload pas d cek unverified status menunggu sistem verif auto,koinworks ini informasi hukum sy selalu gagal keupload setiap kali di upload pas d cek unverified dengan status apakah menunggu atau sistem bakal verif auto,False
2019-12-23,andre_a97,Andre,Udah direply ya min,[],0,0,[],77b761bd-7905-4df8-917f-d6f1ccb929bd,udah direply ya min,udah direply ya min,False
2019-12-23,menyan_s,ὀλίγονἄρχω,Min kenapa mau login kode otp selalu tdk bisa dimasukan?,[],0,0,[],f74f2490-7764-4daa-9e3e-68773a926bcd,min login kode otp tdk bisa dimasukan,min kenapa mau login kode otp selalu tdk bisa dimasukan,False
2019-12-23,fudyej,Fudy,"Hi, ini KoinWorks Super Financial App pertama di Ind. Hsl Pendanaan *hingga 18% p.a* & *pinjaman tnp agunan* semua di 1 App. 
  *Lih Videonya* 
 https://youtu.be/1AHNVeiG4NE  
Download & dptkan 350,000 KOIN dng kode saya 89425 / klik  https://koinworks.onelink.me/uBUZ/87687e   terdaftar & diawasi oleh OJK","['https://youtu.be/1AHNVeiG4NE', 'https://koinworks.onelink.me/uBUZ/87687e']",0,1,[],62f5ca8e-c275-4d2f-9cd6-92bd7451db68,super financial ind hsl pendanaan p a pinjaman tnp agunan lih videonya be 1ahnveig4ne dptkan koin dng kode klik onelink me ubuz 87687e terdaftar diawasi ojk,hi ini koinworks super financial app pertama di ind hsl pendanaan hingga p a pinjaman tnp agunan semua di app lih videonya https youtu be 1ahnveig4ne download dptkan koin dng kode saya klik https koinworks onelink me ubuz 87687e terdaftar diawasi oleh ojk,False
2019-12-23,kelvosaurus,Kelvin H.," https://www.youtube.com/channel/UCBvNiTbTuGAEqhZjAKZ7iYA/discussion …?
KoinWorks.. oh KoinWorks..... #koinworks #update #3KataUntukSahabat",['https://www.youtube.com/channel/UCBvNiTbTuGAEqhZjAKZ7iYA/discussion'],0,0,"['#koinworks', '#update', '#3katauntuksahabat']",b6f95a40-d761-4e92-a66e-2670400e65ed,youtube channel ucbvnitbtugaeqhzjakz7iya discussion ... oh update 3katauntuksahabat,https www youtube com channel ucbvnitbtugaeqhzjakz7iya discussion ... koinworks oh koinworks koinworks update 3katauntuksahabat,False
2019-12-23,bananalautanapi,mikyx,@koinworks apakah untuk id produk pinjaman 212019f1c2 sudah dicairkan? Karena jatuh tempo seharusnya di Oktober 2019,[],0,0,[],718cd39b-193c-4c15-97c5-66058b6c4d01,id produk pinjaman 212019f1c2 sudah dicairkan jatuh tempo oktober,koinworks apakah untuk id produk pinjaman 212019f1c2 sudah dicairkan karena jatuh tempo seharusnya di oktober,False
2019-12-22,misbah82udin,Misbah,"Hi, ini KoinWorks Super Financial App pertama di Indonesia. Hasil Pendanaan *hingga 18% p.a* dan *pinjaman tanpa agunan* semua di 1 App. 
 
 *Lihat Videonya* 
  https://youtu.be/1AHNVeiG4NE  
 
 Download dan *dapatkan 350,000* KOIN dengan klik  https://koinworks.onelink.me/uBUZ/a0937a57 ","['https://youtu.be/1AHNVeiG4NE', 'https://koinworks.onelink.me/uBUZ/a0937a57']",0,0,[],40617bd9-99c2-479c-9804-4ea8ad3712b2,super financial indonesia hasil pendanaan p a pinjaman agunan lihat videonya be 1ahnveig4ne dapatkan koin klik onelink me ubuz a0937a57,hi ini koinworks super financial app pertama di indonesia hasil pendanaan hingga p a dan pinjaman tanpa agunan semua di app lihat videonya https youtu be 1ahnveig4ne download dan dapatkan koin dengan klik https koinworks onelink me ubuz a0937a57,False
2019-12-22,aguspriyanto01,Pemain sepakbola,"Hi, ini KoinWorks Super Financial App pertama di Indonesia. Hasil Pendanaan *hingga 18% p.a* dan *pinjaman tanpa agunan* semua di 1 App. 
 *Lihat Videonya* 
  https://youtu.be/1AHNVeiG4NE  
 Download dan *dapatkan 350,000* KOIN dengan kode saya 94018 atau klik  https://koinworks.onelink.me/uBUZ/ad90b671 ","['https://youtu.be/1AHNVeiG4NE', 'https://koinworks.onelink.me/uBUZ/ad90b671']",0,0,[],b1e7c32a-b2a9-4422-aec5-201f12d3701d,super financial indonesia hasil pendanaan p a pinjaman agunan lihat videonya be 1ahnveig4ne dapatkan koin kode klik onelink me ubuz ad90b671,hi ini koinworks super financial app pertama di indonesia hasil pendanaan hingga p a dan pinjaman tanpa agunan semua di app lihat videonya https youtu be 1ahnveig4ne download dan dapatkan koin dengan kode saya atau klik https koinworks onelink me ubuz ad90b671,False
2019-12-22,kivid08,Kivid08,@koinworks saya coba wd tarik dana ketika klik di kotak nominal.langsung force close. Dan lagi saya edit akun bank saya masukkan kok tidak bisa ya??,[],0,0,[],5d858501-7219-40c2-a6e6-aa9bc4bfb564,coba wd tarik dana klik kotak nominal langsung force close edit akun bank masukkan bisa ya,koinworks saya coba wd tarik dana ketika klik di kotak nominal langsung force close dan lagi saya edit akun bank saya masukkan kok tidak bisa ya,False
2019-12-22,ireneisbaebae,💚❤REFERRAL HUNTER,"@koinworks min mau tanya dong, cara cek profile peminjam skrng gimana caranya? Thank you",[],0,0,[],28e20a01-c6ea-40cf-b14b-57695b15fdf7,min tanya cek profile peminjam skrng gimana thank you,koinworks min mau tanya dong cara cek profile peminjam skrng gimana caranya thank you,False
2019-12-22,novasalopia,Nova Salopia,"If only @koinworks had put as much effort into the functionality of their new app, as they did with the new loadscreen, then maybe we'd have an app that actually works. However, I still can't see the portfolio of my KoinRobo investments. #sigh pic.twitter.com/1YssgFCQsB",[],0,0,['#sigh'],4240f309-1128-4d9c-baf4-db8e2b506b2d,if only had put as much effort into the functionality of their new as they did with the new loadscreen then maybe we d have an that actually works however i still can t see the portfolio of my koinrobo investments sigh 1yssgfcqsb,if only koinworks had put as much effort into the functionality of their new app as they did with the new loadscreen then maybe we d have an app that actually works however i still can t see the portfolio of my koinrobo investments sigh pic twitter com 1yssgfcqsb,False
